eoq_dt,release_dt,bv_a
3/31/1999,5/8/1999,38097
6/30/1999,8/7/1999,38189
9/30/1999,11/6/1999,36384
12/31/1999,3/4/2000,37987
3/31/2000,5/6/2000,38023
6/30/2000,8/12/2000,37011
9/30/2000,11/11/2000,37810
12/31/2000,3/3/2001,38938
3/31/2001,5/5/2001,40436
6/30/2001,8/11/2001,38240
9/30/2001,11/10/2001,38464
12/31/2001,3/2/2002,37475
3/31/2002,5/11/2002,37854
6/30/2002,8/10/2002,39444
9/30/2002,11/9/2002,40819
12/31/2002,3/1/2003,41718
3/31/2003,5/10/2003,52575
6/30/2003,8/9/2003,45995
9/30/2003,11/8/2003,46870
12/31/2003,2/28/2004,50484
3/31/2004,5/8/2004,55806
6/30/2004,8/7/2004,52302
9/30/2004,11/6/2004,52455
12/31/2004,3/5/2005,55806
3/31/2005,5/7/2005,56160
6/30/2005,8/6/2005,57213
9/30/2005,11/5/2005,58125
12/31/2005,3/4/2006,59372
3/31/2006,5/6/2006,61878
6/30/2006,8/5/2006,62857
9/30/2006,11/4/2006,66282
12/31/2006,3/3/2007,70277
3/31/2007,5/5/2007,71210
6/30/2007,8/4/2007,74484
9/30/2007,11/3/2007,77475
12/31/2007,3/1/2008,78001
3/31/2008,5/3/2008,77075
6/30/2008,8/9/2008,76176
9/30/2008,11/8/2008,77555
12/31/2008,2/28/2009,70330
3/31/2009,5/9/2009,66208
6/30/2009,8/8/2009,73812
9/30/2009,11/7/2009,81282
12/31/2009,2/27/2010,82052
3/31/2010,5/8/2010,89378
6/30/2010,8/7/2010,86650
9/30/2010,11/6/2010,90836
12/31/2010,2/26/2011,95433
3/31/2011,5/7/2011,97073
6/30/2011,8/6/2011,98709
9/30/2011,11/5/2011,96901
12/31/2011,2/25/2012,99837
3/31/2012,5/5/2012,106613
6/30/2012,8/4/2012,107356
9/30/2012,11/3/2012,111695
12/31/2012,3/2/2013,114196
3/31/2013,5/4/2013,120520
6/30/2013,8/3/2013,122873
9/30/2013,11/2/2013,126763
12/31/2013,3/1/2014,134986
3/31/2014,5/3/2014,138454
6/30/2014,8/2/2014,142483
9/30/2014,11/8/2014,144580
12/31/2014,2/28/2015,146226
3/31/2015,5/2/2015,146979
6/30/2015,8/8/2015,149743
9/30/2015,11/7/2015,151097
12/31/2015,2/27/2016,155495
3/31/2016,5/7/2016,157350
6/30/2016,8/6/2016,160012
9/30/2016,11/5/2016,163813
12/31/2016,2/25/2017,171565
3/31/2017,5/6/2017,178082
6/30/2017,8/5/2017,182843
9/30/2017,11/4/2017,187450
12/31/2017,2/24/2018,211718
3/31/2018,5/5/2018,211000
6/30/2018,8/4/2018,217654
9/30/2018,11/3/2018,228772
12/31/2018,2/23/2019,212500
3/31/2019,5/4/2019,224950
6/30/2019,8/3/2019,233997
9/30/2019,11/2/2019,243606
12/31/2019,2/22/2020,261417
3/31/2020,5/2/2020,229293
6/30/2020,8/8/2020,245765
9/30/2020,11/7/2020,264323
12/31/2020,2/27/2021,287031
3/31/2021,5/1/2021,293636
6/30/2021,8/7/2021,311276
9/30/2021,11/6/2021,316443
12/31/2021,2/26/2022,342622
3/31/2022,4/30/2022,345469
6/30/2022,8/6/2022,314090
9/30/2022,11/5/2022,310652
12/31/2022,2/25/2023,323593
3/31/2023,5/6/2023,347932
